wavelength_nm,intensity,y_error
417.38,951.40,15.91
417.65,948.80,17.28
417.91,944.35,17.47
418.18,951.35,16.75
418.44,953.30,17.71
418.71,953.45,18.82
418.97,952.80,16.04
419.23,956.75,16.54
419.50,955.70,14.05
419.76,956.30,17.92
420.03,959.45,16.59
420.29,958.20,16.02
420.56,964.70,14.52
420.82,964.05,18.46
421.08,969.35,16.05
421.35,971.15,17.49
421.61,972.20,14.84
421.88,975.85,18.92
422.14,979.20,15.04
422.40,983.80,15.18
422.67,983.55,18.48
422.93,991.15,18.81
423.20,990.20,15.29
423.46,985.20,16.54
423.72,996.05,17.96
423.99,993.90,18.67
424.25,999.50,16.20
424.52,994.20,16.85
424.78,1017.05,18.17
425.04,1007.65,18.04
425.31,1006.95,18.30
425.57,1012.65,17.27
425.84,1013.45,14.91
426.10,1008.25,18.92
426.36,1020.05,18.83
426.63,1027.25,18.55
426.89,1034.60,15.03
427.16,1024.45,15.50
427.42,1029.45,18.29
427.68,1038.25,14.66
427.95,1039.55,19.58
428.21,1030.65,16.42
428.48,1042.20,18.27
428.74,1039.55,19.11
429.00,1047.55,16.64
429.27,1051.95,16.28
429.53,1064.10,17.87
429.79,1070.30,17.78
430.06,1089.15,17.02
430.32,1092.40,18.06
430.59,1116.90,20.02
430.85,1129.90,17.63
431.11,1148.75,16.31
431.38,1174.95,17.47
431.64,1195.45,17.71
431.90,1192.00,16.24
432.17,1199.15,16.46
432.43,1203.05,19.36
432.69,1209.60,17.50
432.96,1209.30,20.90
433.22,1229.10,17.10
433.49,1281.55,16.63
433.75,1346.45,20.82
434.01,1467.15,22.46
434.28,1707.80,20.22
434.54,2035.20,21.45
434.80,2530.95,23.69
435.07,3246.70,29.68
435.33,3938.55,32.07
435.59,5297.75,34.69
435.86,8097.70,39.72
436.12,12979.95,57.64
436.38,16383.00,73.95
436.65,16383.00,67.97
436.91,16383.00,64.91
437.17,16383.00,57.41
437.44,16383.00,60.17
437.70,16383.00,61.00
437.96,16383.00,70.16
438.23,16383.00,72.34
438.49,16383.00,72.83
438.75,16383.00,74.45
439.02,6958.95,48.89
439.28,3159.05,33.06
439.54,2224.05,21.42
439.81,1879.10,20.21
440.07,1699.65,20.35
440.33,1605.85,21.37
440.60,1528.25,18.06
440.86,1422.85,21.92
441.12,1363.05,20.14
441.39,1342.50,19.57
441.65,1293.75,17.08
441.91,1262.65,17.38
442.18,1236.90,16.69
442.44,1212.30,20.35
442.70,1196.35,18.76
442.97,1169.85,19.38
443.23,1140.70,16.79
443.49,1121.50,17.06
443.76,1115.05,17.19
444.02,1105.05,19.00
444.28,1100.85,19.03
444.55,1081.90,15.91
444.81,1082.75,19.76
445.07,1070.05,15.38
445.33,1065.55,19.38
445.60,1061.15,15.22
445.86,1064.15,16.09
446.12,1062.65,19.10
446.39,1059.60,15.61
446.65,1068.00,16.89
446.91,1067.20,17.07
447.18,1056.30,15.93
447.44,1056.25,18.34
447.70,1041.50,18.94
447.96,1041.80,19.06
448.23,1043.00,16.32
448.49,1045.70,17.33
448.75,1032.85,15.78
449.02,1030.40,15.74
449.28,1022.95,15.27
449.54,1019.00,19.20
449.81,1009.25,18.85
450.07,1000.05,18.21
450.33,1002.85,16.92
450.59,1010.40,16.85
450.86,1001.35,16.97
451.12,996.30,16.97
451.38,978.35,16.31
451.64,989.40,14.88
451.91,972.90,14.73
452.17,970.85,18.83
452.43,967.95,16.47
452.70,961.30,18.75
452.96,953.95,14.78
453.22,953.30,16.71
453.48,950.05,14.97
453.75,954.55,15.23
454.01,942.60,14.05
454.27,953.45,14.56
454.53,954.85,18.51
454.80,941.50,15.47
455.06,948.20,16.93
455.32,957.40,16.30
455.59,948.90,15.91
455.85,942.85,16.51
456.11,947.25,14.85
456.37,951.70,18.83
456.64,958.55,18.05
456.90,952.00,17.62
457.16,963.10,16.36
457.42,956.15,14.75
457.69,958.70,18.56
457.95,957.80,15.69
458.21,954.00,14.22
458.47,956.05,15.68
458.74,962.40,17.97
459.00,958.35,17.09
459.26,950.90,17.65
459.52,945.20,17.81
459.79,942.50,14.94
460.05,941.00,18.41
460.31,929.45,15.94
460.57,930.60,16.93
460.83,935.75,13.86
461.10,924.85,18.60
461.36,925.50,15.15
461.62,926.90,14.09
461.88,928.45,16.03
462.15,930.55,14.44
462.41,922.35,14.50
462.67,923.95,16.84
462.93,922.10,15.66
463.20,929.80,18.30
463.46,926.25,15.34
463.72,920.90,17.27
463.98,921.95,15.99
464.24,931.35,17.04
464.51,923.60,16.68
464.77,925.35,16.08
465.03,935.60,18.49
465.29,933.75,15.51
465.56,930.40,14.68
465.82,932.35,17.14
466.08,930.90,17.94
466.34,934.10,14.04
466.60,933.25,16.03
466.87,940.70,18.26
467.13,945.05,17.60
467.39,942.55,18.76
467.65,947.65,16.55
467.91,947.95,17.18
468.18,947.15,15.42
468.44,952.80,18.64
468.70,956.80,15.81
468.96,954.70,17.63
469.22,959.45,16.01
469.49,962.80,16.82
469.75,970.00,17.67
470.01,969.60,16.61
470.27,968.55,18.58
470.53,971.35,16.18
470.80,977.40,17.37
471.06,973.60,15.82
471.32,980.10,16.19
471.58,985.75,16.40
471.84,984.80,14.82
472.11,995.85,14.72
472.37,986.70,17.55
472.63,997.20,17.57
472.89,996.95,17.61
473.15,999.20,14.38
473.42,1006.70,15.99
473.68,1019.60,15.43
473.94,1013.55,18.33
474.20,1013.75,18.75
474.46,1024.05,15.71
474.72,1031.15,17.91
474.99,1021.65,15.09
475.25,1012.15,15.77
475.51,1024.70,15.16
475.77,1021.75,15.88
476.03,1020.90,17.87
476.29,1019.25,19.05
476.56,1010.45,15.39
476.82,1015.45,17.15
477.08,1016.25,17.96
477.34,1021.10,19.28
477.60,1016.90,17.50
477.86,1018.30,15.71
478.13,1014.80,17.57
478.39,1022.85,16.08
478.65,1015.85,19.36
478.91,1018.95,16.45
479.17,1021.75,17.93
479.43,1021.35,14.55
479.70,1019.70,16.46
479.96,1028.20,18.95
480.22,1028.40,17.60
480.48,1028.45,16.75
480.74,1029.95,19.28
481.00,1029.20,18.85
481.26,1037.25,16.19
481.53,1039.90,17.35
481.79,1046.55,17.12
482.05,1046.85,17.86
482.31,1051.70,16.36
482.57,1060.80,15.96
482.83,1058.40,19.40
483.09,1054.95,19.43
483.36,1060.90,19.07
483.62,1067.70,19.83
483.88,1066.85,18.61
484.14,1077.40,18.79
484.40,1082.50,18.83
484.66,1089.90,17.40
484.92,1101.25,17.36
485.19,1110.50,16.29
485.45,1119.50,18.50
485.71,1123.30,16.64
485.97,1133.10,16.54
486.23,1136.85,18.32
486.49,1155.35,17.51
486.75,1150.15,16.44
487.01,1153.40,19.69
487.28,1147.80,19.88
487.54,1150.50,16.17
487.80,1153.25,15.32
488.06,1147.30,17.05
488.32,1150.85,19.57
488.58,1152.30,19.80
488.84,1160.45,16.08
489.10,1160.05,19.51
489.37,1155.80,15.92
489.63,1165.85,17.48
489.89,1156.05,20.69
490.15,1146.20,16.27
490.41,1144.30,16.05
490.67,1145.95,17.51
490.93,1155.30,18.64
491.19,1176.10,20.50
491.45,1221.15,21.14
491.71,1318.70,16.68
491.98,1562.80,18.51
492.24,1970.80,25.22
492.50,2338.30,23.45
492.76,2218.30,27.38
493.02,1722.75,22.82
493.28,1366.75,17.22
493.54,1217.90,20.29
493.80,1144.65,16.18
494.06,1119.50,17.32
494.32,1099.10,17.85
494.59,1081.55,17.45
494.85,1068.50,18.31
495.11,1062.10,18.09
495.37,1061.05,19.84
495.63,1059.75,19.87
